connective	sense	class	weight	year	freq	z_freq
albeit	Comparison	Concession	1	1820	10.17	-0.187248023869194
although	Comparison	Concession	0.95	1820	215.237225	0.320770347538967
although	Comparison	Contrast	0.043	1820	0.44096801	-0.211350007923144
and	Comparison	Concession	3e-04	1820	0.0029927169	-0.212435015510864
and	Comparison	Contrast	0.0025	1820	0.2078275625	-0.211927572818989
as	Comparison	Concession	0.0083	1820	0.5328930838	-0.211122279546347
as	Comparison	Contrast	0.0071	1820	0.3899425222	-0.211476414691522
as	Comparison	Similarity	0.0077	1820	0.4586330518	-0.211306245855529
but	Comparison	Concession	0.821	1820	4170.59498545	10.1194810279046
but	Comparison	Contrast	0.165	1820	168.45332625	0.204871378061522
by	Comparison	Concession	0.0023	1820	0.0330460481	-0.212360563611631
conversely	Comparison	Contrast	1	1820	0.14	-0.212095603804134
despite	Comparison	Concession	1	1820	4.15	-0.202161526482189
for	Comparison	Concession	0.0166	1820	2.0000172356	-0.207487734717201
however	Comparison	Concession	0.8045	1820	395.76223847	0.76798965984724
however	Comparison	Contrast	0.1945	1820	23.13244127	-0.155135830887311
if	Comparison	Concession+SpeechAct	8e-04	1820	0.0017126208	-0.212438186726235
if	Comparison	Concession	0.0078	1820	0.1628060148	-0.212039105870362
if	Comparison	Contrast	0.0017	1820	0.0077335533	-0.212423270913515
indeed	Comparison	Concession	0.009708738	1820	0.0405316252276369	-0.212342019396672
like	Comparison	Contrast	0.2	1820	2.4464	-0.206381899082106
like	Comparison	Similarity	0.6	1820	22.0176	-0.157897656168576
meanwhile	Comparison	Concession	0.01302083	1820	0.00517272684375034	-0.212429614915516
meanwhile	Comparison	Contrast	0.1223958	1820	0.457062128976596	-0.211310137543507
meanwhile	Comparison	Similarity	0.005208333	1820	0.000827636612812503	-0.212440379120585
nevertheless	Comparison	Concession	0.7272727	1820	29.0909069090909	-0.14037476894744
nevertheless	Comparison	Contrast	0.2727273	1820	4.09090990909095	-0.202307911901653
nonetheless	Comparison	Concession	0.9259259	1820	0	-0.212442429446297
nonetheless	Comparison	Contrast	0.07407407	1820	0	-0.212442429446297
nor	Comparison	Concession	0.02941176	1820	0.499229944052608	-0.211205674118205
only	Comparison	Concession	0.2857143	1820	105.50531667298	0.048928636315721
only	Comparison	Contrast	0.1428571	1820	26.3763107048187	-0.147099708745719
or	Comparison	Concession	0.03089888	1820	3.81806568467946	-0.202983835996953
regardless	Comparison	Concession	1	1820	11.6	-0.183705447667104
similarly	Comparison	Similarity	1	1820	1.15	-0.209593504528532
still	Comparison	Concession	0.5958549	1820	234.850334124572	0.369358413017083
still	Comparison	Contrast	0.388601	1820	99.8890723363455	0.035015368111466
though	Comparison	Concession	0.9319149	1820	651.592205938143	1.4017638937872
though	Comparison	Contrast	0.06808511	1820	3.47798461580111	-0.203826327676246
whatever	Comparison	Concession	1	1820	215.72	0.321966338606075
when	Comparison	Concession	0.003724395	1820	0.0323840671983966	-0.21236220355414
when	Comparison	Contrast	0.001396648	1820	0.00455400863460691	-0.212431147682232
whereas	Comparison	Contrast	1	1820	19.05	-0.165249368852019
whether	Comparison	Concession	1	1820	330.88	0.607255202545029
while	Comparison	Concession	0.2752179	1820	63.8499145652864	-0.0542653750096018
while	Comparison	Contrast	0.2970112	1820	74.3622667900289	-0.028222851359698
while	Comparison	Similarity	0.00124533	1820	0.00130730182603034	-0.212439190833473
with	Comparison	Concession	0.006734	1820	0.36376079341056	-0.211541275369381
with	Comparison	Contrast	0.003367003	1820	0.0909403604083077	-0.212217140525603
without	Comparison	Concession	0.06397306	1820	4.29865334491786	-0.201793263683541
yet	Comparison	Concession	0.9411765	1820	955.677291563738	2.15508178731712
yet	Comparison	Contrast	0.03921569	1820	1.65916217606353	-0.208332143823688
asif	Comparison	Concession	0.25	1820	25.98	-0.148081499564967
asif	Comparison	Similarity	0.625	1820	162.375	0.189813382312019
asthough	Comparison	Similarity	0.4	1820	4.9728	-0.200123182636679
aswell	Comparison	Similarity	0.3333333	1820	26.3244391795558	-0.147228211424713
butthen	Comparison	Concession	1	1820	33.66	-0.129055635766328
bycomparison	Comparison	Contrast	1	1820	1.29	-0.20924667888637
bycontrast	Comparison	Contrast	1	1820	1.86	-0.207834603057564
evenas	Comparison	Concession	0.5769231	1820	5.14903887346155	-0.199686581490519
evenif	Comparison	Concession	1	1820	27.79	-0.143597539477006
evenso	Comparison	Concession	1	1820	8.74	-0.190790600071284
eventhough	Comparison	Concession	1	1820	10.6	-0.186182773682552
evenwhen	Comparison	Concession	0.785714	1820	11.2295326493892	-0.184623216072646
evenwith	Comparison	Concession	1	1820	12.03	-0.182640197480462
ifonly	Comparison	Concession	0.8333333	1820	0.798611047222224	-0.21046400952279
incontrast	Comparison	Contrast	1	1820	2.15	-0.207116178513085
infact	Comparison	Concession	0.04705882	1820	0.14465326549924	-0.212084076148456
infact	Comparison	Contrast	0.08235294	1820	0.44300067938436	-0.211344972338397
nomatter	Comparison	Concession	1	1820	51.71	-0.0843399011874979
regardlessof	Comparison	Concession	1	1820	10.17	-0.187248023869194
asmuchas	Comparison	Concession	0.5	1820	8.9525	-0.190264168293002
butthenagain	Comparison	Concession	1	1820	0	-0.212442429446297
inanycase	Comparison	Concession	1	1820	5.16	-0.199659427206587
intheend	Comparison	Concession	0.07692308	1820	0.0559171642366865	-0.212303904400623
intheend	Comparison	Contrast	0.07692308	1820	0.0559171642366865	-0.212303904400623
inthemeantime	Comparison	Contrast	0.0357142	1820	0.0197320481429708	-0.212393546730094
onthecontrary	Comparison	Contrast	1	1820	47.84	-0.0939271528672804
ontheotherhand	Comparison	Concession	0.1111111	1820	0.346543140567905	-0.211583929108693
ontheotherhand	Comparison	Contrast	0.8888889	1820	22.1787659865679	-0.157498395477246
albeit	Comparison	Concession	1	1830	2.48	-0.206298660927987
although	Comparison	Concession	0.95	1830	187.72	0.25260121017354
although	Comparison	Contrast	0.043	1830	0.384592	-0.211489669679364
and	Comparison	Concession	3e-04	1830	0.0030028824	-0.212434990327606
and	Comparison	Contrast	0.0025	1830	0.2085335	-0.211925823981655
as	Comparison	Concession	0.0083	1830	0.5720246705	-0.21102533784859
as	Comparison	Contrast	0.0071	1830	0.4185769145	-0.21140547796654
as	Comparison	Similarity	0.0077	1830	0.4923115505	-0.211222813234538
but	Comparison	Concession	0.821	1830	3579.94633797	8.65625176751341
but	Comparison	Contrast	0.165	1830	144.59660325	0.145770497530293
by	Comparison	Concession	0.0023	1830	0.0342455556	-0.212357592040496
conversely	Comparison	Contrast	1	1830	0.07	-0.212269016625216
despite	Comparison	Concession	1	1830	8.9	-0.190394227908813
for	Comparison	Concession	0.0166	1830	1.9571759224	-0.207593866616928
however	Comparison	Concession	0.8045	1830	339.81652006	0.629393876177237
however	Comparison	Contrast	0.1945	1830	19.86239446	-0.163236802921455
if	Comparison	Concession+SpeechAct	8e-04	1830	0.0016677632	-0.212438297853134
if	Comparison	Concession	0.0078	1830	0.1585417392	-0.212049669871243
if	Comparison	Contrast	0.0017	1830	0.0075309932	-0.212423772720921
indeed	Comparison	Concession	0.009708738	1830	0.0357413526832916	-0.212353886463467
like	Comparison	Contrast	0.2	1830	1.8436	-0.207875231204218
like	Comparison	Similarity	0.6	1830	16.5924	-0.171337645267583
meanwhile	Comparison	Concession	0.01302083	1830	0.00396897854513915	-0.212432596992492
