connective	sense	class	weight	year	freq	z_freq
about	Contingency	Cause	1	1820	890.51	0.837583196687303
accordingly	Contingency	Cause	1	1820	59.87	-0.237105722608273
after	Contingency	Cause	0.05	1820	2.679275	-0.3110995568132
and	Contingency	Cause	0.0025	1820	0.2078275625	-0.314297135999974
and	Contingency	Condition	0.0034	1820	0.3843978596	-0.314068687885544
and	Contingency	Purpose	0.02	1820	13.300964	-0.297357127514702
as	Contingency	Cause+Belief	0.0065	1820	0.326821495	-0.314143180663461
as	Contingency	Cause	0.32	1820	792.107008	0.71026858972408
because	Contingency	Cause+Belief	0.0023	1820	0.0018776326	-0.314563595726924
because	Contingency	Cause	0.995	1820	351.3994735	0.140077527438105
because	Contingency	Condition	0.0023	1820	0.0018776326	-0.314563595726924
but	Contingency	Cause	5e-04	1820	0.0015468625	-0.314564023680022
by	Contingency	Cause+Belief	0.0034	1820	0.0722140484	-0.314472593888964
by	Contingency	Cause	0.136	1820	115.54247744	-0.165076209685104
by	Contingency	Condition	0.0785	1820	38.4948979025	-0.26476100693481
by	Contingency	Purpose	0.133	1820	110.50123721	-0.171598608094388
consequently	Contingency	Cause	1	1820	39.39	-0.263602916419278
else	Contingency	Negative-condition	1	1820	115.88	-0.16463952019839
finally	Contingency	Cause	0.0156	1820	0.019870344	-0.314540316607727
for	Contingency	Cause	0.5833	1820	2469.4572660089	2.88043826137454
for	Contingency	Condition	0.1166	1820	98.6767104356	-0.186897278878797
for	Contingency	Purpose	0.2666	1820	515.8671252356	0.352867138945874
from	Contingency	Cause+Belief	0.2857	1820	401.657790392	0.205102154552472
from	Contingency	Cause	0.4285	1820	903.5191598	0.85441455550268
from	Contingency	Condition	0.0714	1820	25.086041568	-0.282109496440629
given	Contingency	Cause+Belief	0.3333	1820	42.5337142032	-0.259535552916905
given	Contingency	Cause	0.6667	1820	170.1859062032	-0.0943780884723906
hence	Contingency	Cause	1	1820	89.95	-0.198187969198359
if	Contingency	Condition	0.9887	1820	2615.8347726093	3.06982269311099
in	Contingency	Cause+Belief	0.0125	1820	2.7793984375	-0.310970016279583
in	Contingency	Cause	0.05	1820	44.470375	-0.257029885120079
in	Contingency	Condition	0.125	1820	277.93984375	0.0450348493731422
in	Contingency	Purpose	0.03125	1820	17.371240234375	-0.292090970373757
indeed	Contingency	Cause+Belief	0.0388349	1820	0.6485042669443	-0.31372698482587
indeed	Contingency	Cause	0.01941748	1820	0.162126567706672	-0.31435626432597
lest	Contingency	Negative-condition	1	1820	61.16	-0.235436709912169
on	Contingency	Cause	1	1820	4951.74	6.09203624459105
once	Contingency	Condition	0.06547619	1820	2.18858060875567	-0.31173442128521
once	Contingency	Cause	0.04166667	1820	0.886284864027784	-0.313419342317793
once	Contingency	Condition	0.01785714	1820	0.162786937704086	-0.314355409933792
or	Contingency	Condition	0.002808989	1820	0.031554259814434	-0.314525199860568
or	Contingency	Condition+SpeechAct	0.005617978	1820	0.126217039257736	-0.314402724371623
or	Contingency	Negative-condition	0.01966292	1820	1.54615825910805	-0.312565592647863
otherwise	Contingency	Negative-condition	0.2105263	1820	3.86614900456512	-0.309563969385064
since	Contingency	Cause	0.5075	1820	104.552384125	-0.179295283540992
so	Contingency	Cause+Belief	0.003745318	1820	0.0407055710481329	-0.314513359818216
so	Contingency	Cause	0.8314607	1820	2006.13386539492	2.28098660398965
so	Contingency	Purpose	0.164794	1820	78.8059932005309	-0.212606177596635
then	Contingency	Cause	0.03097345	1820	1.30888586165268	-0.312872577643047
then	Contingency	Condition	0.002949853	1820	0.0118719855874	-0.31455066495016
thereby	Contingency	Cause	0.75	1820	14.985	-0.295178307774629
therefore	Contingency	Cause	1	1820	414.39	0.221575192913093
thus	Contingency	Cause+Belief	0.00892857	1820	0.0444993480051032	-0.314508451398132
thus	Contingency	Cause	0.9910714	1820	548.276610607041	0.39479879984441
till	Contingency	Negative-condition	0.2	1820	19.0964	-0.289858944364738
ultimately	Contingency	Cause	0.08333333	1820	0.104444436088889	-0.314430893946132
unless	Contingency	Negative-condition	1	1820	114.02	-0.167046003620678
until	Contingency	Condition	0.1065089	1820	2.91022715819853	-0.31080074899597
upon	Contingency	Cause	0.3	1820	183.1869	-0.0775572948996618
when	Contingency	Cause	0.09310987	1820	20.2400398252176	-0.288379293676321
when	Contingency	Condition+SpeechAct	0.01210428	1820	0.342056497839509	-0.314123469490466
when	Contingency	Condition	0.1447858	1820	48.940889949592	-0.251245895810786
when	Contingency	Cause+Belief	0.001396648	1820	0.00455400863460691	-0.314560133009419
whenever	Contingency	Condition	1	1820	59.87	-0.237105722608273
where	Contingency	Condition	1	1820	1078.87	1.08128492648422
with	Contingency	Cause+Belief	0.02525253	1820	5.11539831151288	-0.307947680273519
with	Contingency	Cause	0.3771044	1820	1140.75626816703	1.16135389337199
with	Contingency	Condition	0.006734007	1820	0.363761549670399	-0.314095387314438
with	Contingency	Condition	0.006734007	1820	0.363761549670399	-0.314095387314438
without	Contingency	Cause	0.006734007	1820	0.0476305176559508	-0.314504400264876
without	Contingency	Negative-condition	0.03030303	1820	0.96451788704573	-0.313318123783939
becauseof	Contingency	Cause	1	1820	8.31	-0.303814478120745
bythen	Contingency	Cause	0.07142857	1820	0	-0.31456602502355
dependingon	Contingency	Condition	1	1820	3.44	-0.310115324500608
dependingupon	Contingency	Condition	1	1820	2.86	-0.310865733309709
dueto	Contingency	Cause	1	1820	24.78	-0.282505455558867
ifonly	Contingency	Purpose	0.1666667	1820	0.0319444572222235	-0.314524695019927
incase	Contingency	Condition	1	1820	21.49	-0.286762084838076
inorder	Contingency	Condition	0.07272727	1820	0.620482598091902	-0.313763239493374
inorder	Contingency	Purpose	0.927272	1820	100.867051694343	-0.184063397196905
insofaras	Contingency	Cause	0.5	1820	0	-0.31456602502355
nowthat	Contingency	Cause	0.6904762	1820	11.4707826293605	-0.299725031347081
onlyif	Contingency	Condition	1	1820	0	-0.31456602502355
soas	Contingency	Purpose	1	1820	47.84	-0.252670236355655
sothat	Contingency	Cause	0.32258	1820	11.268425269556	-0.299986842977053
sothat	Contingency	Purpose	0.6774194	1820	49.6939608402208	-0.250271566448363
asaresult	Contingency	Cause	1	1820	0	-0.31456602502355
aslongas	Contingency	Condition	0.6875	1820	15.1675390625	-0.294942137222034
ifandwhen	Contingency	Condition	0.8333333	1820	0	-0.31456602502355
intheend	Contingency	Cause	0.1538462	1820	0.223668773254458	-0.314276640510152
solongas	Contingency	Condition	1	1820	18.19	-0.291031652200201
whenandif	Contingency	Condition	0.5	1820	0	-0.31456602502355
notonlybecauseof	Contingency	Cause	1	1820	0	-0.31456602502355
about	Contingency	Cause	1	1830	959.06	0.92627375507326
accordingly	Contingency	Cause	1	1830	90.73	-0.197178798730947
after	Contingency	Cause	0.05	1830	2.715275	-0.311052979714704
and	Contingency	Cause	0.0025	1830	0.2085335	-0.314296222652184
and	Contingency	Condition	0.0034	1830	0.3857035616	-0.314066998557471
and	Contingency	Purpose	0.02	1830	13.346144	-0.29729867325609
as	Contingency	Cause+Belief	0.0065	1830	0.3508207625	-0.314112130212179
as	Contingency	Cause	0.32	1830	850.27328	0.785524594726407
because	Contingency	Cause+Belief	0.0023	1830	0.0017886548	-0.314563710847139
because	Contingency	Cause	0.995	1830	334.747253	0.118532746482436
because	Contingency	Condition	0.0023	1830	0.0017886548	-0.314563710847139
but	Contingency	Cause	5e-04	1830	0.0013277925	-0.314564307114604
by	Contingency	Cause+Belief	0.0034	1830	0.0748352784	-0.314469202519856
by	Contingency	Cause	0.136	1830	119.73644544	-0.159650019112196
by	Contingency	Condition	0.0785	1830	39.89218809	-0.262953181304517
by	Contingency	Purpose	0.133	1830	114.51221796	-0.166409167942779
consequently	Contingency	Cause	1	1830	54.85	-0.243600640231869
else	Contingency	Negative-condition	1	1830	119.61	-0.159813615270897
finally	Contingency	Cause	0.0156	1830	0.0168964848	-0.314544164211418
for	Contingency	Cause	0.5833	1830	2416.5603257806	2.81199976150938
for	Contingency	Condition	0.1166	1830	96.5630087224	-0.189632003681205
for	Contingency	Purpose	0.2666	1830	504.8170079224	0.338570405543422
from	Contingency	Cause+Belief	0.2857	1830	406.8638003642	0.211837733420412
from	Contingency	Cause	0.4285	1830	915.229949105	0.86956607180612
from	Contingency	Condition	0.0714	1830	25.4111894568	-0.281688817406118
given	Contingency	Cause+Belief	0.3333	1830	40.6640881845	-0.261954490562002
given	Contingency	Cause	0.6667	1830	162.7051581845	-0.104056742286003
hence	Contingency	Cause	1	1830	83.65	-0.206338961435143
if	Contingency	Condition	0.9887	1830	2547.3198568172	2.98117752696412
in	Contingency	Cause+Belief	0.0125	1830	2.9227859375	-0.310784500343178
in	Contingency	Cause	0.05	1830	46.764575	-0.254061630137598
in	Contingency	Condition	0.125	1830	292.27859375	0.0635864430136477
in	Contingency	Purpose	0.03125	1830	18.267412109375	-0.290931495771225
indeed	Contingency	Cause+Belief	0.0388349	1830	0.571860111488232	-0.313826147669698
indeed	Contingency	Cause	0.01941748	1830	0.142965469634921	-0.314381055113531
lest	Contingency	Negative-condition	1	1830	46.09	-0.254934400865873
on	Contingency	Cause	1	1830	5205.49	6.42034009857262
once	Contingency	Condition	0.06547619	1830	2.10772530947823	-0.311839032541831
once	Contingency	Cause	0.04166667	1830	0.853541803233339	-0.31346170556134
once	Contingency	Condition	0.01785714	1830	0.156772909016331	-0.314363190933974
or	Contingency	Condition	0.002808989	1830	0.0311995854712987	-0.314525658741174
or	Contingency	Condition+SpeechAct	0.005617978	1830	0.124798341885195	-0.314404559894047
or	Contingency	Negative-condition	0.01966292	1830	1.52877922159751	-0.312588077790693
otherwise	Contingency	Negative-condition	0.2105263	1830	4.02127363503603	-0.309363267851937
since	Contingency	Cause	0.5075	1830	92.4189091875	-0.19499367402048
so	Contingency	Cause+Belief	0.003745318	1830	0.0415964516616935	-0.314512207189491
so	Contingency	Cause	0.8314607	1830	2050.0400365373	2.337792772264
so	Contingency	Purpose	0.164794	1830	80.5307382358413	-0.210374688169135
then	Contingency	Cause	0.03097345	1830	1.36137215208689	-0.312804670445291
then	Contingency	Condition	0.002949853	1830	0.0123480519135993	-0.3145500490116
thereby	Contingency	Cause	0.75	1830	17.76375	-0.291583137984476
therefore	Contingency	Cause	1	1830	342.64	0.128744447994166
thus	Contingency	Cause+Belief	0.00892857	1830	0.0451992840056134	-0.314507545815131
thus	Contingency	Cause	0.9910714	1830	556.900524331745	0.405956490927069
till	Contingency	Negative-condition	0.2	1830	16.0976	-0.293738816669447
ultimately	Contingency	Cause	0.08333333	1830	0.0911805482611113	-0.314448054874182
unless	Contingency	Negative-condition	1	1830	113.19	-0.168119864502667
until	Contingency	Condition	0.1065089	1830	3.32848581307801	-0.310259602480273
upon	Contingency	Cause	0.3	1830	202.3533	-0.0527596476604406
when	Contingency	Cause	0.09310987	1830	20.3014195162888	-0.28829988012308
when	Contingency	Condition+SpeechAct	0.01210428	1830	0.343093814087284	-0.314122127402103
when	Contingency	Condition	0.1447858	1830	49.089307478994	-0.251053871980634
when	Contingency	Cause+Belief	0.001396648	1830	0.00456781906410911	-0.314560115141371
whenever	Contingency	Condition	1	1830	58.86	-0.238412468982741
where	Contingency	Condition	1	1830	1047.9	1.04121568369483
with	Contingency	Cause+Belief	0.02525253	1830	5.26442652793927	-0.307754866331431
with	Contingency	Cause	0.3771044	1830	1173.99021431733	1.20435224846228
with	Contingency	Condition	0.006734007	1830	0.374359108579912	-0.314081676104851
with	Contingency	Condition	0.006734007	1830	0.374359108579912	-0.314081676104851
without	Contingency	Cause	0.006734007	1830	0.0430373351914898	-0.314510342962433
without	Contingency	Negative-condition	0.03030303	1830	0.871505951348577	-0.313438463397558
becauseof	Contingency	Cause	1	1830	10.65	-0.300786966718511
bythen	Contingency	Cause	0.07142857	1830	0.00112244893469388	-0.314564572789812
dependingon	Contingency	Condition	1	1830	3.14	-0.310503466988074
dependingupon	Contingency	Condition	1	1830	1.6	-0.312495931757065
dueto	Contingency	Cause	1	1830	25.6	-0.281444532759794
ifonly	Contingency	Purpose	0.1666667	1830	0.0486111305555575	-0.314503131539776
incase	Contingency	Condition	1	1830	24.36	-0.283048855041319
inorder	Contingency	Condition	0.07272727	1830	0.641904084088596	-0.313735524197175
inorder	Contingency	Purpose	0.927272	1830	104.349376810378	-0.179557936087896
insofaras	Contingency	Cause	0.5	1830	0	-0.31456602502355
nowthat	Contingency	Cause	0.6904762	1830	12.5196488714467	-0.29836799950634
onlyif	Contingency	Condition	1	1830	0.22	-0.314281387199408
soas	Contingency	Purpose	1	1830	66.95	-0.227945559904077
sothat	Contingency	Cause	0.32258	1830	12.515038389228	-0.298373964586463
sothat	Contingency	Purpose	0.6774194	1830	55.1915474213072	-0.243158743346223
asaresult	Contingency	Cause	1	1830	0.51	-0.313906182794858
aslongas	Contingency	Condition	0.6875	1830	12.6151953125	-0.298244380728677
ifandwhen	Contingency	Condition	0.8333333	1830	0	-0.31456602502355
intheend	Contingency	Cause	0.1538462	1830	0.295148106082867	-0.314184159956664
solongas	Contingency	Condition	1	1830	26.99	-0.279646139234535
whenandif	Contingency	Condition	0.5	1830	0	-0.31456602502355
notonlybecauseof	Contingency	Cause	1	1830	0	-0.31456602502355
about	Contingency	Cause	1	1840	941.35	0.903360410229857
accordingly	Contingency	Cause	1	1840	71.17	-0.222485688913724
after	Contingency	Cause	0.05	1840	2.549025	-0.311268075343174
and	Contingency	Cause	0.0025	1840	0.2148274375	-0.31428807950366
and	Contingency	Condition	0.0034	1840	0.3973448284	-0.31405193698996
and	Contingency	Purpose	0.02	1840	13.748956	-0.296777511750553
as	Contingency	Cause+Belief	0.0065	1840	0.347503715	-0.314116421835738
as	Contingency	Cause	0.32	1840	842.233856	0.775123121295896
because	Contingency	Cause+Belief	0.0023	1840	0.0018058473	-0.31456368860334
because	Contingency	Cause	0.995	1840	337.96483425	0.122695679782432
because	Contingency	Condition	0.0023	1840	0.0018058473	-0.31456368860334
but	Contingency	Cause	5e-04	1840	0.0013929875	-0.314564222764773
by	Contingency	Cause+Belief	0.0034	1840	0.0711375812	-0.314473986631153
by	Contingency	Cause	0.136	1840	113.82012992	-0.167304597187416
by	Contingency	Condition	0.0785	1840	37.9210691825	-0.265503431290677
by	Contingency	Purpose	0.133	1840	108.85403753	-0.173729768698216
consequently	Contingency	Cause	1	1840	42.32	-0.259812058125028
else	Contingency	Negative-condition	1	1840	131.71	-0.144158534943106
finally	Contingency	Cause	0.0156	1840	0.017473248	-0.314543417990407
for	Contingency	Cause	0.5833	1840	2409.9052530922	2.80338937328424
for	Contingency	Condition	0.1166	1840	96.2970795688	-0.189976065025099
for	Contingency	Purpose	0.2666	1840	503.4267699688	0.336771704151823
from	Contingency	Cause+Belief	0.2857	1840	407.4963901617	0.212656183345569
from	Contingency	Cause	0.4285	1840	916.6529440425	0.871407154455095
from	Contingency	Condition	0.0714	1840	25.4506986468	-0.281637700088504
given	Contingency	Cause+Belief	0.3333	1840	37.1203525935	-0.266539405052709
