connective	sense	class	weight	year	freq	z_freq
additionally	Expansion	Conjunction	1	1820	0.43	-0.1360238651746
also	Expansion	Conjunction	0.9988	1820	385.8123809056	0.00476887931613194
alternatively	Expansion	Disjunction	0.67	1820	0	-0.136180958189566
alternatively	Expansion	Substitution	0.33	1820	0	-0.136180958189566
although	Expansion	Exception	0.006	1820	0.00858564	-0.136177821575442
and	Expansion	Conjunction	0.967	1820	31093.96281449	11.2234571016966
and	Expansion	Level-of-detail	6e-04	1820	0.0119708676	-0.136176584841466
and	Expansion	Manner	0.003	1820	0.29927169	-0.136071624487064
as	Expansion	Instantiation	0.0047	1820	0.1708754278	-0.136118531826457
as	Expansion	Level-of-detail	0.0085	1820	0.558884095	-0.135976779613985
as	Expansion	Manner	0.0035	1820	0.094758895	-0.136146339676751
besides	Expansion	Conjunction	1	1820	110.58	-0.0957824800619453
beyond	Expansion	Conjunction	1	1820	183.63	-0.06909493414747
but	Expansion	Conjunction	0.0113	1820	0.7900754905	-0.135892317862001
but	Expansion	Exception	8e-04	1820	0.003959968	-0.136179511484188
by	Expansion	Level-of-detail	0.0046	1820	0.1321841924	-0.13613266699581
by	Expansion	Manner	0.468	1820	1368.21883536	0.36367397664575
except	Expansion	Exception	1	1820	167.59	-0.0749548689382733
finally	Expansion	Conjunction	0.5625	1820	25.8345703125	-0.126742747629736
for	Expansion	Level-of-detail	0.0166	1820	2.0000172356	-0.135450286706954
from	Expansion	Manner	0.0714	1820	25.086041568	-0.127016209576856
from	Expansion	Substitution	0.1428	1820	100.344166272	-0.0995219637387274
further	Expansion	Conjunction	1	1820	134.79	-0.0869377779867988
furthermore	Expansion	Conjunction	1	1820	2.44	-0.135289546662785
if	Expansion	Level-of-detail	4e-04	1820	0.0004281552	-0.136180801770516
in	Expansion	Instantiation	0.0125	1820	2.7793984375	-0.135165553351573
in	Expansion	Level-of-detail	0.24375	1820	1056.86625585938	0.249926731457342
in	Expansion	Manner	0.1625	1820	469.7183359375	0.0354224594312822
indeed	Expansion	Conjunction	0.5242718	1820	118.190195718353	-0.0930022275273567
indeed	Expansion	Equivalence	0.01941748	1820	0.162126567706672	-0.1361217280702
indeed	Expansion	Instantiation	0.01941748	1820	0.162126567706672	-0.1361217280702
indeed	Expansion	Level-of-detail	0.368932	1820	58.52765286832	-0.114798899008323
instead	Expansion	Substitution	1	1820	131.21	-0.0882456686695342
like	Expansion	Instantiation	0.2	1820	2.3548	-0.135320672999704
likewise	Expansion	Conjunction	1	1820	58.15	-0.114936867909939
meanwhile	Expansion	Conjunction	0.140625	1820	0.60334716796875	-0.135960535804247
moreover	Expansion	Conjunction	1	1820	31.51	-0.124669328185936
nor	Expansion	Disjunction	0.02941176	1820	0.499229944052608	-0.13599857321963
nor	Expansion	Conjunction	0.9117647	1820	479.760123567332	0.0390910517438702
only	Expansion	Exception	0.4285714	1820	237.386907123919	-0.0494557838793005
only	Expansion	Level-of-detail	0.1428571	1820	26.3763107048187	-0.126544832207508
or	Expansion	Conjunction	0.1994382	1820	159.064993417078	-0.0780693316980671
or	Expansion	Disjunction	0.7247191	1820	2100.37739091177	0.631155360190771
or	Expansion	Equivalence	0.01685393	1820	1.13595281412054	-0.135765957602522
otherwise	Expansion	Exception	0.7894737	1820	54.3677307065651	-0.116318654158118
plus	Expansion	Conjunction	1	1820	3.44	-0.134924214069842
rather	Expansion	Substitution	1	1820	313.12	-0.0217880166873003
separately	Expansion	Conjunction	0.9864865	1820	9.06007877269175	-0.132871016119272
specifically	Expansion	Level-of-detail	1	1820	1.43	-0.135658532581657
then	Expansion	Conjunction	0.03244838	1820	1.43650999045165	-0.135656154269966
thereby	Expansion	Manner	0.25	1820	1.665	-0.135572679422316
ultimately	Expansion	Conjunction	0.05555556	1820	0.0464197605135805	-0.136163999538093
when	Expansion	Manner	0.001862197	1820	0.00809601245203896	-0.136178000452344
when	Expansion	Level-of-detail	0.001862197	1820	0.00809601245203896	-0.136178000452344
while	Expansion	Conjunction	0.01369863	1820	0.158183520949672	-0.136123168593696
with	Expansion	Instantiation	0.02356902	1820	4.45607728187703	-0.134553007921824
with	Expansion	Level-of-detail	0.3872054	1820	1202.68660806741	0.303199658833344
with	Expansion	Manner	0.01683502	1820	2.27351036067239	-0.135350370754419
without	Expansion	Level-of-detail	0.006734007	1820	0.0476305176559508	-0.136163557209047
without	Expansion	Manner	0.2087542	1820	45.7729200122884	-0.119458618634911
yet	Expansion	Conjunction	0.01960784	1820	0.414790332472752	-0.136029421761876
alongwith	Expansion	Conjunction	1	1820	17.48	-0.129794944464925
andthen	Expansion	Disjunction	1	1820	294.21	-0.0286964560198496
asif	Expansion	Instantiation	0.0625	1820	1.62375	-0.135587749391775
asif	Expansion	Manner	0.0625	1820	1.62375	-0.135587749391775
asthough	Expansion	Manner	0.2	1820	1.2432	-0.135726776710019
asthough	Expansion	Level-of-detail	0.4	1820	4.9728	-0.134364232271379
aswell	Expansion	Conjunction	0.6666667	1820	105.297788307556	-0.0977122441560189
butalso	Expansion	Conjunction	1	1820	15.18	-0.130635209428693
forexample	Expansion	Instantiation	1	1820	20.2	-0.12880123981212
forinstance	Expansion	Instantiation	1	1820	26.64	-0.126448497913568
inaddition	Expansion	Conjunction	1	1820	23.35	-0.12765044214435
infact	Expansion	Conjunction	0.4235294	1820	11.716915612036	-0.131900387027728
infact	Expansion	Instantiation	0.04705882	1820	0.14465326549924	-0.136128111637003
infact	Expansion	Level-of-detail	0.4117647	1820	11.075016984609	-0.132134893517692
inparticular	Expansion	Instantiation	0.4	1820	3.0016	-0.135084375878588
inparticular	Expansion	Level-of-detail	0.6	1820	6.7536	-0.133713647989867
inshort	Expansion	Level-of-detail	1	1820	49.13	-0.118232167898283
insum	Expansion	Level-of-detail	1	1820	0	-0.136180958189566
insofaras	Expansion	Level-of-detail	0.5	1820	0	-0.136180958189566
insteadof	Expansion	Substitution	1	1820	127.77	-0.0895024127892577
moreaccurately	Expansion	Level-of-detail	1	1820	2.15	-0.135395493114739
muchless	Expansion	Conjunction	1	1820	21.77	-0.1282276676412
notonly	Expansion	Conjunction	1	1820	178.9	-0.0708229573120897
orotherwise	Expansion	Disjunction	1	1820	6.88	-0.133667469950119
ratherthan	Expansion	Substitution	1	1820	70.33	-0.110487116927895
suchas	Expansion	Instantiation	1	1820	125.48	-0.0903390244270968
thatis	Expansion	Equivalence	0.5	1820	65.03	-0.112423379670492
thatis	Expansion	Level-of-detail	0.5	1820	65.03	-0.112423379670492
asanalternative	Expansion	Disjunction	1	1820	0	-0.136180958189566
asmuchas	Expansion	Conjunction	0.25	1820	2.238125	-0.135363298179985
asmuchas	Expansion	Substitution	0.25	1820	2.238125	-0.135363298179985
aswellas	Expansion	Conjunction	1	1820	184.92	-0.0686236551025737
inotherwords	Expansion	Equivalence	1	1820	12.03	-0.131786007096463
intheend	Expansion	Conjunction	0.07692308	1820	0.0559171642366865	-0.136160529826965
intheend	Expansion	Level-of-detail	0.2307692	1820	0.503254303668648	-0.135997102989897
somuchas	Expansion	Substitution	1	1820	35.81	-0.123098398036282
notsomuchas	Expansion	Substitution	1	1820	2.29	-0.135344346551727
additionally	Expansion	Conjunction	1	1830	0.36	-0.136049438456106
also	Expansion	Conjunction	0.9988	1830	424.2499643888	0.0188113813565067
alternatively	Expansion	Disjunction	0.67	1830	0	-0.136180958189566
alternatively	Expansion	Substitution	0.33	1830	0	-0.136180958189566
although	Expansion	Exception	0.006	1830	0.007488	-0.13617822257911
and	Expansion	Conjunction	0.967	1830	31199.58111704	11.2620429100295
and	Expansion	Level-of-detail	6e-04	1830	0.0120115296	-0.136176569986312
and	Expansion	Manner	0.003	1830	0.30028824	-0.136071253108216
as	Expansion	Instantiation	0.0047	1830	0.1834232105	-0.136113947712468
as	Expansion	Level-of-detail	0.0085	1830	0.5999242625	-0.135961786303177
as	Expansion	Manner	0.0035	1830	0.1017172625	-0.13614379755831
besides	Expansion	Conjunction	1	1830	126.47	-0.0899773451600834
beyond	Expansion	Conjunction	1	1830	184.88	-0.0686382684062915
but	Expansion	Conjunction	0.0113	1830	0.6781832973	-0.135933195727073
but	Expansion	Exception	8e-04	1830	0.0033991488	-0.136179716369721
by	Expansion	Level-of-detail	0.0046	1830	0.1369822224	-0.136130914119069
by	Expansion	Manner	0.468	1830	1417.88252736	0.381817742019226
