connective	sense	class	weight	year	freq	z_freq
after	Temporal	Asynchronous	0.95	1820	967.218275	2.12599784983775
afterward	Temporal	Asynchronous	1	1820	26.5	-0.320641143322232
afterwards	Temporal	Asynchronous	1	1820	108.14	-0.108310190783247
also	Temporal	Synchronous	5e-04	1820	9.6685e-05	-0.389562624373983
although	Temporal	Synchronous	0.003	1820	0.00214641	-0.389557293408014
as	Temporal	Synchronous	0.015	1820	1.7404695	-0.385036227784297
as	Temporal	Asynchronous	0.547	1820	2314.50728278	5.63005417476708
before	Temporal	Asynchronous	1	1820	1181.28	2.68273388574402
but	Temporal	Synchronous	2e-04	1820	0.000247498	-0.389562232136502
by	Temporal	Synchronous	0.0023	1820	0.0330460481	-0.389476929008322
earlier	Temporal	Asynchronous	1	1820	26.21	-0.321395381149722
finally	Temporal	Asynchronous	0.422	1820	14.5405586	-0.351745498837863
however	Temporal	Synchronous	0.001	1820	0.00061148	-0.389561285484802
if	Temporal	Synchronous	4e-04	1820	0.0004281552	-0.389561762279626
in	Temporal	Synchronous	0.2375	1820	1003.3628359375	2.2200033502415
later	Temporal	Asynchronous	1	1820	35.95	-0.296063393426428
meantime	Temporal	Synchronous	1	1820	23.49	-0.328469611807562
meanwhile	Temporal	Synchronous	0.71875	1820	15.761513671875	-0.34857001435209
next	Temporal	Asynchronous	1	1820	259.55	0.285479979769517
once	Temporal	Asynchronous	0.952381	1820	463.03859505669	0.814717206854363
previously	Temporal	Asynchronous	1	1820	36.24	-0.295309155598938
separately	Temporal	Synchronous	0.01408451	1820	0.00184685655826233	-0.389558072492625
simultaneously	Temporal	Synchronous	1	1820	3.72	-0.37988782508164
since	Temporal	Asynchronous	0.4925	1820	98.463284125	-0.133477587882559
still	Temporal	Asynchronous	0.0103626	1820	0.0710309496953772	-0.389378137112953
still	Temporal	Synchronous	0.005181347	1820	0.0177580595891095	-0.38951669031605
subsequently	Temporal	Asynchronous	1	1820	11.46	-0.359757477547934
then	Temporal	Asynchronous	0.9218289	1820	1159.37318377088	2.62575819788237
then	Temporal	Synchronous	0.01179941	1820	0.189951705004767	-0.389068845622857
thereafter	Temporal	Asynchronous	1	1820	2.58	-0.382852759989705
till	Temporal	Asynchronous	0.8	1820	305.5424	0.405097937897322
ultimately	Temporal	Asynchronous	0.8611111	1820	11.1523453912099	-0.360557631836731
until	Temporal	Asynchronous	0.8934911	1820	204.802640746199	0.143091947685322
upon	Temporal	Asynchronous	0.1	1820	20.3541	-0.336625523542826
upon	Temporal	Synchronous	0.6	1820	732.7476	1.51618180665783
when	Temporal	Asynchronous	0.1899441	1820	84.2309188724264	-0.170493409427901
when	Temporal	Synchronous	0.07495527	1820	13.1166904040044	-0.355448723854347
while	Temporal	Synchronous	0.3592777	1820	108.809669381047	-0.106568501200152
with	Temporal	Synchronous	0.01683502	1820	2.27351036067239	-0.383649884402514
bythen	Temporal	Asynchronous	0.9285714	1820	0	-0.389562875834274
evenafter	Temporal	Asynchronous	1	1820	6.59	-0.372423471409581
evenas	Temporal	Synchronous	0.4230769	1820	2.76903815946155	-0.382361105745894
evenbefore	Temporal	Asynchronous	1	1820	3.87	-0.379497702067421
eventhen	Temporal	Asynchronous	1	1820	12.03	-0.358275010093901
evenwhen	Temporal	Synchronous	0.142857	1820	0.37122374734731	-0.388597389652508
evenwhen	Temporal	Asynchronous	0.07142857	1820	0.0928061187367347	-0.389321503815743
evenwhile	Temporal	Synchronous	1	1820	8.45	-0.367585946033264
lateron	Temporal	Asynchronous	1	1820	0	-0.389562875834274
nowthat	Temporal	Asynchronous	0.1190476	1820	0.340986285442186	-0.388676031851046
nowthat	Temporal	Synchronous	0.1904762	1820	0.872925257360546	-0.387292554283677
sincebefore	Temporal	Asynchronous	1	1820	0	-0.389562875834274
aslongas	Temporal	Synchronous	0.3125	1820	3.1337890625	-0.381412454267678
assoonas	Temporal	Synchronous	0.45	1820	16.8237	-0.345807458805487
assoonas	Temporal	Asynchronous	0.55	1820	25.1317	-0.324199845457938
beforeandafter	Temporal	Asynchronous	1	1820	0.86	-0.387326170552751
evenbeforethen	Temporal	Asynchronous	1	1820	0	-0.389562875834274
ifandwhen	Temporal	Synchronous	0.1666667	1820	0	-0.389562875834274
