Phrase	Year	Frequency	Corpus	sense	class	weight	Weighted_Frequency
albeit	1834	2.68722208472484e-06	eng_2019	Comparison	Concession	1	2.68722208472484e-06
albeit	1898	1.92492903546996e-06	eng_2019	Comparison	Concession	1	1.92492903546996e-06
albeit	1805	3.63673975048836e-06	eng_2019	Comparison	Concession	1	3.63673975048836e-06
albeit	1878	2.00336993267618e-06	eng_2019	Comparison	Concession	1	2.00336993267618e-06
albeit	1899	1.85502376228084e-06	eng_2019	Comparison	Concession	1	1.85502376228084e-06
albeit	1835	2.52642952805867e-06	eng_2019	Comparison	Concession	1	2.52642952805867e-06
albeit	1996	7.56303994161759e-06	eng_2019	Comparison	Concession	1	7.56303994161759e-06
albeit	1828	2.74628536901998e-06	eng_2019	Comparison	Concession	1	2.74628536901998e-06
albeit	1879	1.95240867079909e-06	eng_2019	Comparison	Concession	1	1.95240867079909e-06
albeit	1875	2.02710246607499e-06	eng_2019	Comparison	Concession	1	2.02710246607499e-06
albeit	1806	4.02255565339666e-06	eng_2019	Comparison	Concession	1	4.02255565339666e-06
albeit	1820	2.16933923573898e-06	eng_2019	Comparison	Concession	1	2.16933923573898e-06
albeit	1829	2.83587913989842e-06	eng_2019	Comparison	Concession	1	2.83587913989842e-06
albeit	1904	1.61858421116839e-06	eng_2019	Comparison	Concession	1	1.61858421116839e-06
albeit	1876	2.03240628187424e-06	eng_2019	Comparison	Concession	1	2.03240628187424e-06
albeit	1997	7.80477525300479e-06	eng_2019	Comparison	Concession	1	7.80477525300479e-06
albeit	1824	2.39912276356335e-06	eng_2019	Comparison	Concession	1	2.39912276356335e-06
albeit	1884	1.78780451928365e-06	eng_2019	Comparison	Concession	1	1.78780451928365e-06
albeit	1852	2.78388756669301e-06	eng_2019	Comparison	Concession	1	2.78388756669301e-06
albeit	1836	2.50543059467288e-06	eng_2019	Comparison	Concession	1	2.50543059467288e-06
albeit	1881	1.80780658151239e-06	eng_2019	Comparison	Concession	1	1.80780658151239e-06
albeit	1895	1.94759474782456e-06	eng_2019	Comparison	Concession	1	1.94759474782456e-06
albeit	1833	2.79643771656473e-06	eng_2019	Comparison	Concession	1	2.79643771656473e-06
albeit	1847	3.59329140207722e-06	eng_2019	Comparison	Concession	1	3.59329140207722e-06
albeit	1861	2.22571085422325e-06	eng_2019	Comparison	Concession	1	2.22571085422325e-06
albeit	1830	2.74571297203303e-06	eng_2019	Comparison	Concession	1	2.74571297203303e-06
albeit	1889	1.90646124208018e-06	eng_2019	Comparison	Concession	1	1.90646124208018e-06
albeit	1842	3.98754510959926e-06	eng_2019	Comparison	Concession	1	3.98754510959926e-06
albeit	1871	1.94377465894442e-06	eng_2019	Comparison	Concession	1	1.94377465894442e-06
albeit	1825	2.36198315763301e-06	eng_2019	Comparison	Concession	1	2.36198315763301e-06
albeit	1900	1.78653494588486e-06	eng_2019	Comparison	Concession	1	1.78653494588486e-06
albeit	1853	2.5581918764926e-06	eng_2019	Comparison	Concession	1	2.5581918764926e-06
albeit	1807	3.42881318309602e-06	eng_2019	Comparison	Concession	1	3.42881318309602e-06
albeit	1821	2.13466526994515e-06	eng_2019	Comparison	Concession	1	2.13466526994515e-06
albeit	1880	1.91730657661537e-06	eng_2019	Comparison	Concession	1	1.91730657661537e-06
