Phrase	Year	Frequency	Corpus	sense	class	weight	Weighted_Frequency
about	1800	0.000621718500042334	eng_2019	Contingency	Cause	1	0.000621718500042334
about	1847	0.000676990079227835	eng_2019	Contingency	Cause	1	0.000676990079227835
about	1945	0.000896511308383197	eng_2019	Contingency	Cause	1	0.000896511308383197
about	1804	0.000591174699366093	eng_2019	Contingency	Cause	1	0.000591174699366093
about	1851	0.00068833287306396	eng_2019	Contingency	Cause	1	0.00068833287306396
about	1949	0.000915294080706579	eng_2019	Contingency	Cause	1	0.000915294080706579
about	1808	0.000613861833699048	eng_2019	Contingency	Cause	1	0.000613861833699048
about	1906	0.000849318066944501	eng_2019	Contingency	Cause	1	0.000849318066944501
about	1812	0.00063703310609396	eng_2019	Contingency	Cause	1	0.00063703310609396
about	1859	0.000723000116912382	eng_2019	Contingency	Cause	1	0.000723000116912382
about	1910	0.000868870028560715	eng_2019	Contingency	Cause	1	0.000868870028560715
about	1816	0.000650816846505872	eng_2019	Contingency	Cause	1	0.000650816846505872
about	1863	0.000745661099374827	eng_2019	Contingency	Cause	1	0.000745661099374827
about	1914	0.000866904630259212	eng_2019	Contingency	Cause	1	0.000866904630259212
about	2012	0.001400357561319	eng_2019	Contingency	Cause	1	0.001400357561319
about	1871	0.000785258249379694	eng_2019	Contingency	Cause	1	0.000785258249379694
about	1824	0.000642036486949239	eng_2019	Contingency	Cause	1	0.000642036486949239
about	2016	0.0014137770880812	eng_2019	Contingency	Cause	1	0.0014137770880812
about	1875	0.000804158135516835	eng_2019	Contingency	Cause	1	0.000804158135516835
about	1828	0.000640129163262567	eng_2019	Contingency	Cause	1	0.000640129163262567
about	1969	0.000903660348350448	eng_2019	Contingency	Cause	1	0.000903660348350448
about	1879	0.000817207794170827	eng_2019	Contingency	Cause	1	0.000817207794170827
about	1977	0.000880350117638175	eng_2019	Contingency	Cause	1	0.000880350117638175
about	1836	0.000671732671824949	eng_2019	Contingency	Cause	1	0.000671732671824949
about	1883	0.00082885125552171	eng_2019	Contingency	Cause	1	0.00082885125552171
about	1981	0.000869468952129994	eng_2019	Contingency	Cause	1	0.000869468952129994
about	1840	0.000683505545436804	eng_2019	Contingency	Cause	1	0.000683505545436804
about	1887	0.000833048111027373	eng_2019	Contingency	Cause	1	0.000833048111027373
about	1985	0.00087806476014001	eng_2019	Contingency	Cause	1	0.00087806476014001
about	1844	0.000682274270470121	eng_2019	Contingency	Cause	1	0.000682274270470121
about	1942	0.000874432419160647	eng_2019	Contingency	Cause	1	0.000874432419160647
about	1801	0.000610076636075974	eng_2019	Contingency	Cause	1	0.000610076636075974
about	1848	0.000677515361790678	eng_2019	Contingency	Cause	1	0.000677515361790678
about	1946	0.000899149537352579	eng_2019	Contingency	Cause	1	0.000899149537352579
about	1805	0.000584020944578307	eng_2019	Contingency	Cause	1	0.000584020944578307
about	1852	0.000692152933749769	eng_2019	Contingency	Cause	1	0.000692152933749769
about	1950	0.000915667333174497	eng_2019	Contingency	Cause	1	0.000915667333174497
about	1809	0.00061327447682353	eng_2019	Contingency	Cause	1	0.00061327447682353
about	1907	0.000853723937845124	eng_2019	Contingency	Cause	1	0.000853723937845124
about	1813	0.000630567631950336	eng_2019	Contingency	Cause	1	0.000630567631950336
about	1860	0.000729114116568651	eng_2019	Contingency	Cause	1	0.000729114116568651
about	1911	0.000870126025152526	eng_2019	Contingency	Cause	1	0.000870126025152526
about	1817	0.000649381462218506	eng_2019	Contingency	Cause	1	0.000649381462218506
about	1864	0.0007506348109538	eng_2019	Contingency	Cause	1	0.0007506348109538
about	1915	0.000862914345426751	eng_2019	Contingency	Cause	1	0.000862914345426751
about	2013	0.00141338952484408	eng_2019	Contingency	Cause	1	0.00141338952484408
about	1872	0.000787885460470404	eng_2019	Contingency	Cause	1	0.000787885460470404
about	1825	0.000645224661898932	eng_2019	Contingency	Cause	1	0.000645224661898932
about	2017	0.00142159716536601	eng_2019	Contingency	Cause	1	0.00142159716536601
about	1876	0.000803230072571231	eng_2019	Contingency	Cause	1	0.000803230072571231
about	1829	0.000649535205281739	eng_2019	Contingency	Cause	1	0.000649535205281739
about	1970	0.000898028931780053	eng_2019	Contingency	Cause	1	0.000898028931780053
about	1880	0.000817839430445539	eng_2019	Contingency	Cause	1	0.000817839430445539
about	1978	0.000873825205157378	eng_2019	Contingency	Cause	1	0.000873825205157378
about	1837	0.000672777499338346	eng_2019	Contingency	Cause	1	0.000672777499338346
about	1884	0.000827292878446834	eng_2019	Contingency	Cause	1	0.000827292878446834
about	1982	0.000869920818201665	eng_2019	Contingency	Cause	1	0.000869920818201665
about	1841	0.000684457806138588	eng_2019	Contingency	Cause	1	0.000684457806138588
about	1888	0.000836256658658385	eng_2019	Contingency	Cause	1	0.000836256658658385
about	1986	0.000883424238833998	eng_2019	Contingency	Cause	1	0.000883424238833998
about	1845	0.000681561534292996	eng_2019	Contingency	Cause	1	0.000681561534292996
about	1943	0.000884987521983151	eng_2019	Contingency	Cause	1	0.000884987521983151
about	1802	0.000606977700954303	eng_2019	Contingency	Cause	1	0.000606977700954303
about	1849	0.00067843560827896	eng_2019	Contingency	Cause	1	0.00067843560827896
about	1947	0.000903631003373968	eng_2019	Contingency	Cause	1	0.000903631003373968
about	1806	0.000596995889541826	eng_2019	Contingency	Cause	1	0.000596995889541826
about	1853	0.000696622774869736	eng_2019	Contingency	Cause	1	0.000696622774869736
about	1951	0.000917893268966249	eng_2019	Contingency	Cause	1	0.000917893268966249
about	1810	0.000625781423877925	eng_2019	Contingency	Cause	1	0.000625781423877925
about	1908	0.000858723784663847	eng_2019	Contingency	Cause	1	0.000858723784663847
about	1814	0.000631567498203367	eng_2019	Contingency	Cause	1	0.000631567498203367
about	1861	0.000731669374675091	eng_2019	Contingency	Cause	1	0.000731669374675091
about	1912	0.00086560843711985	eng_2019	Contingency	Cause	1	0.00086560843711985
about	1818	0.000646989268716425	eng_2019	Contingency	Cause	1	0.000646989268716425
about	1865	0.000756303097919694	eng_2019	Contingency	Cause	1	0.000756303097919694
about	1916	0.000860588176042906	eng_2019	Contingency	Cause	1	0.000860588176042906
about	2014	0.00141782860737294	eng_2019	Contingency	Cause	1	0.00141782860737294
about	1873	0.000792763437077935	eng_2019	Contingency	Cause	1	0.000792763437077935
about	1826	0.000646321260969022	eng_2019	Contingency	Cause	1	0.000646321260969022
about	2018	0.00140752794686705	eng_2019	Contingency	Cause	1	0.00140752794686705
about	1877	0.000809447673548545	eng_2019	Contingency	Cause	1	0.000809447673548545
about	1830	0.000656815578362771	eng_2019	Contingency	Cause	1	0.000656815578362771
about	1971	0.000898910403650786	eng_2019	Contingency	Cause	1	0.000898910403650786
about	1881	0.000822043054670628	eng_2019	Contingency	Cause	1	0.000822043054670628
about	1979	0.000870838561760528	eng_2019	Contingency	Cause	1	0.000870838561760528
about	1838	0.000675446886037077	eng_2019	Contingency	Cause	1	0.000675446886037077
about	1885	0.000829958930678133	eng_2019	Contingency	Cause	1	0.000829958930678133
about	1983	0.000872111571620085	eng_2019	Contingency	Cause	1	0.000872111571620085
about	1842	0.000684471667877265	eng_2019	Contingency	Cause	1	0.000684471667877265
about	1889	0.000836863049439022	eng_2019	Contingency	Cause	1	0.000836863049439022
about	1987	0.000889445862932397	eng_2019	Contingency	Cause	1	0.000889445862932397
about	1846	0.000677011216924127	eng_2019	Contingency	Cause	1	0.000677011216924127
about	1944	0.000890288352301078	eng_2019	Contingency	Cause	1	0.000890288352301078
about	1803	0.000602189642709813	eng_2019	Contingency	Cause	1	0.000602189642709813
about	1850	0.000684319862297603	eng_2019	Contingency	Cause	1	0.000684319862297603
about	1948	0.000909021074351456	eng_2019	Contingency	Cause	1	0.000909021074351456
about	1807	0.000608769553114793	eng_2019	Contingency	Cause	1	0.000608769553114793
about	1854	0.000702353477078889	eng_2019	Contingency	Cause	1	0.000702353477078889
about	1952	0.000921718693072242	eng_2019	Contingency	Cause	1	0.000921718693072242
about	1811	0.000629045376886747	eng_2019	Contingency	Cause	1	0.000629045376886747
about	1909	0.000864574411285243	eng_2019	Contingency	Cause	1	0.000864574411285243
about	1815	0.000636652893652873	eng_2019	Contingency	Cause	1	0.000636652893652873
about	1862	0.000740425228806479	eng_2019	Contingency	Cause	1	0.000740425228806479
about	1913	0.000869001935435725	eng_2019	Contingency	Cause	1	0.000869001935435725
about	1819	0.000648175657261163	eng_2019	Contingency	Cause	1	0.000648175657261163
about	1866	0.000761094395004745	eng_2019	Contingency	Cause	1	0.000761094395004745
about	1917	0.000861848413478583	eng_2019	Contingency	Cause	1	0.000861848413478583
about	2015	0.00140619071732674	eng_2019	Contingency	Cause	1	0.00140619071732674
about	1874	0.000797227923093098	eng_2019	Contingency	Cause	1	0.000797227923093098
about	1827	0.000647681399381586	eng_2019	Contingency	Cause	1	0.000647681399381586
