Phrase	Year	Frequency	Corpus	sense	class	weight	Weighted_Frequency
additionally	1891	3.3571678516507e-07	eng_2019	Expansion	Conjunction	1	3.3571678516507e-07
additionally	1895	3.27253108675255e-07	eng_2019	Expansion	Conjunction	1	3.27253108675255e-07
additionally	1875	3.72393243099266e-07	eng_2019	Expansion	Conjunction	1	3.72393243099266e-07
additionally	1806	3.62461654341522e-07	eng_2019	Expansion	Conjunction	1	3.62461654341522e-07
additionally	1859	3.73228699247972e-07	eng_2019	Expansion	Conjunction	1	3.73228699247972e-07
additionally	1894	3.19430735576784e-07	eng_2019	Expansion	Conjunction	1	3.19430735576784e-07
additionally	1854	4.04804682472916e-07	eng_2019	Expansion	Conjunction	1	4.04804682472916e-07
additionally	1890	3.44837332022507e-07	eng_2019	Expansion	Conjunction	1	3.44837332022507e-07
additionally	1892	3.32405566691055e-07	eng_2019	Expansion	Conjunction	1	3.32405566691055e-07
additionally	1897	3.2635247748658e-07	eng_2019	Expansion	Conjunction	1	3.2635247748658e-07
additionally	1807	3.50560039156075e-07	eng_2019	Expansion	Conjunction	1	3.50560039156075e-07
additionally	1805	3.9164223559445e-07	eng_2019	Expansion	Conjunction	1	3.9164223559445e-07
additionally	1893	3.26740896688144e-07	eng_2019	Expansion	Conjunction	1	3.26740896688144e-07
additionally	1855	3.90469381272851e-07	eng_2019	Expansion	Conjunction	1	3.90469381272851e-07
additionally	1889	3.42933654045347e-07	eng_2019	Expansion	Conjunction	1	3.42933654045347e-07
additionally	1887	3.50223436791046e-07	eng_2019	Expansion	Conjunction	1	3.50223436791046e-07
additionally	1896	3.18354413561143e-07	eng_2019	Expansion	Conjunction	1	3.18354413561143e-07
additionally	1860	3.84168921690226e-07	eng_2019	Expansion	Conjunction	1	3.84168921690226e-07
additionally	1871	3.77151597571615e-07	eng_2019	Expansion	Conjunction	1	3.77151597571615e-07
additionally	1822	3.77072564918178e-07	eng_2019	Expansion	Conjunction	1	3.77072564918178e-07
additionally	1811	2.84482788564284e-07	eng_2019	Expansion	Conjunction	1	2.84482788564284e-07
additionally	1863	3.79958391606903e-07	eng_2019	Expansion	Conjunction	1	3.79958391606903e-07
additionally	2001	2.34116903032243e-06	eng_2019	Expansion	Conjunction	1	2.34116903032243e-06
additionally	1827	3.9527175285262e-07	eng_2019	Expansion	Conjunction	1	3.9527175285262e-07
additionally	1816	3.89762774943847e-07	eng_2019	Expansion	Conjunction	1	3.89762774943847e-07
additionally	1870	3.74929933449104e-07	eng_2019	Expansion	Conjunction	1	3.74929933449104e-07
additionally	1821	3.87042100718255e-07	eng_2019	Expansion	Conjunction	1	3.87042100718255e-07
