about,2,Contingency.Cause.Reason
accordingly,5,Contingency.Cause.Result
additionally,7,Expansion.Conjunction
after,56,Temporal.Asynchronous.Succession
,533,Temporal.Asynchronous.Succession
,28,Contingency.Cause.Reason
afterward,6,Temporal.Asynchronous.Precedence
afterwards,5,Temporal.Asynchronous.Precedence
albeit,1,Comparison.Concession.Arg2-as-denier
along_with,2,Expansion.Conjunction
also,1736,Expansion.Conjunction
,0.5,Temporal.Synchronous
,0.5,Expansion.Conjunction
alternatively,4,Expansion.Disjunction
,2,Expansion.Substitution.Arg2-as-subst
although,206,Comparison.Concession.Arg1-as-denier
,105,Comparison.Concession.Arg2-as-denier
,14,Comparison.Contrast
,2,Expansion.Exception.Arg2-as-excpt
,0.5,Temporal.Synchronous
,0.5,Comparison.Contrast
and,2,Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct
,16,Comparison.Contrast
,1,Contingency.Cause+SpeechAct.Result+SpeechAct
,4,Contingency.Cause.Reason
,6,Contingency.Cause.Result
,6,Expansion.Conjunction
,5,Contingency.Cause.Result
,22,Contingency.Condition.Arg1-as-cond
,128,Contingency.Purpose.Arg2-as-goal
,6189,Expansion.Conjunction
,4,Expansion.Level-of-detail.Arg2-as-detail
,19,Expansion.Manner.Arg2-as-manner
and_then,1,Expansion.Disjunction
and/or,1,Expansion.Conjunction
,1,Expansion.Disjunction
as,7,Comparison.Concession.Arg1-as-denier
,5,Comparison.Contrast
,65,Comparison.Similarity
,3,Contingency.Cause+Belief.Reason+Belief
,180,Contingency.Cause.Reason
,4,Expansion.Instantiation.Arg2-as-instance
,8,Expansion.Level-of-detail.Arg1-as-detail
,3,Expansion.Manner.Arg2-as-manner
,11.5,Temporal.Asynchronous.Succession
,11.5,Contingency.Cause.Reason
,3,Temporal.Asynchronous.Succession
,1,Comparison.Contrast
,1,Temporal.Synchronous
,0.5,Temporal.Synchronous
,0.5,Comparison.Similarity
,2.5,Temporal.Synchronous
,2.5,Contingency.Cause+Belief.Reason+Belief
,73,Temporal.Synchronous
,73,Contingency.Cause.Reason
,383,Temporal.Synchronous
as_a_result,78,Contingency.Cause.Result
as_an_alternative,2,Expansion.Disjunction
as_if,4,Comparison.Concession.Arg2-as-denier
,10,Comparison.Similarity|Expansion.Manner.Arg2-as-manner
,1,Expansion.Instantiation.Arg1-as-instance
,1,Expansion.Manner.Arg2-as-manner
