decade,year,genre,left_context,keyword,right_context,text,dm_code,confidence,reason,notes
1820,1826,FIC,"terrific scenes of torture, of which we read and hear",so,"much, are never acted in the presence of such as","  cruel murders, those terrific scenes of torture, of which we read and hear so much, are never acted in the presence of such as he! "" """,0,low,MANUAL REVIEW NEEDED,
1820,1826,FIC,singing master senseless on that rock where he had been,so,long slumbering. The Mohicans boldly sent back the intimidating yell,"  , and left the unfortunate singing master senseless on that rock where he had been so long slumbering. The Mohicans boldly sent back the intimidating yell of their enemies,",0,low,MANUAL REVIEW NEEDED,
1820,1826,FIC,"how it pleaseth well, Together e'en in unity, For brethren",so,"to dwell. It's like the choice ointment, From the head","  see, And how it pleaseth well, Together e'en in unity, For brethren so to dwell. It's like the choice ointment, From the head to the",0,low,MANUAL REVIEW NEEDED,
1820,1826,FIC,"finger around the crown of his head, in a manner",so,"significant, that none who witnessed the action could mistake its","  than by passing his finger around the crown of his head, in a manner so significant, that none who witnessed the action could mistake its meaning. "" Surely",0,low,MANUAL REVIEW NEEDED,
1820,1826,FIC,"state of Rhode Island there is a bay called Narragansett,",so,"named after a powerful tribe of Indians, which formerly dwelt","  . * In the state of Rhode Island there is a bay called Narragansett, so named after a powerful tribe of Indians, which formerly dwelt on its banks.",0,low,MANUAL REVIEW NEEDED,
1820,1826,FIC,head of the island at that point which had proved,so,"fatal to their first adventurers, but","  arrangement, they touched the head of the island at that point which had proved so fatal to their first adventurers, but ",0,low,MANUAL REVIEW NEEDED,
1820,1826,FIC,like a dark barrier along the margin of the stream.,So,"soon as Cora and Alice were seated, the scout, without","  , which now lay like a dark barrier along the margin of the stream. So soon as Cora and Alice were seated, the scout, without regarding the element",0,low,MANUAL REVIEW NEEDED,
1820,1826,FIC,version which we use in the colonies of New England,so,"much exceed all other versions, that, by its richness, its","  changes, yet does this version which we use in the colonies of New England so much exceed all other versions, that, by its richness, its exactness,",0,high,and so + intensifier,
1820,1826,FIC,"in a hundred places around the besieged, their cover was",so,"close, and so rigidly maintained, that, as yet, David had","  in a hundred places around the besieged, their cover was so close, and so rigidly maintained, that, as yet, David had been the only sufferer in",0,low,MANUAL REVIEW NEEDED,
1820,1826,FIC,"success, they sent up a howl, like an opening from",so,many hounds who had recovered a lost trail. After this,"  sign of their success, they sent up a howl, like an opening from so many hounds who had recovered a lost trail. After this yell of victory,",0,low,MANUAL REVIEW NEEDED,
1820,1826,FIC,"shall not go without its reward. "" "" And in",so,"doing, how know I that I don't guide an enemy","  thither, your labor shall not go without its reward. "" "" And in so doing, how know I that I don't guide an enemy and a spy",0,low,MANUAL REVIEW NEEDED,
1820,1826,FIC,"you have consulted no one but yourself. "" "" Even",so.,The first point to be obtained is to know one's,"  are three, while you have consulted no one but yourself. "" "" Even so. The first point to be obtained is to know one's own mind.",0,low,MANUAL REVIEW NEEDED,
1820,1826,FIC,fail to enlist the ears of those who journeyed at,so,short a distance in advance. The Indian muttered a few,  of the forest could not fail to enlist the ears of those who journeyed at so short a distance in advance. The Indian muttered a few words in broken English,0,low,MANUAL REVIEW NEEDED,
1820,1826,FIC,"useful. Few men exhibit greater diversity, or, if we may",so,"express it, greater antithesis of character, than the native warrior","  some explanation useful. Few men exhibit greater diversity, or, if we may so express it, greater antithesis of character, than the native warrior of North America",0,low,MANUAL REVIEW NEEDED,
1820,1826,FIC,entered into a loud conversation with the stranger that had,so,unceremoniously enlisted himself in the party of travelers that morning.,"  the scout, who immediately entered into a loud conversation with the stranger that had so unceremoniously enlisted himself in the party of travelers that morning. In passing his gentler",0,low,MANUAL REVIEW NEEDED,
