decade,year,gener,source,left_context,keyword,right_context,text,dm_code,notes,auto_code,confidence,reason
1820,1826,FIC,LastMohicansANarrative1757,"Le Renard Subtil "" and "" Le Gros Serpent. """,Well,did these barbarous warriors prove that they deserved those significant,"  protracted struggle between "" Le Renard Subtil "" and "" Le Gros Serpent. "" Well did these barbarous warriors prove that they deserved those significant names which had been bestowed",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"fidelity? "" "" The fidelity of' The Long Rifle' is",well,"known to me, "" returned Munro, "" and is above","  distrust his fidelity? "" "" The fidelity of' The Long Rifle' is well known to me, "" returned Munro, "" and is above suspicion; though",0,NA,0,high,Compound: well + adjective
1820,1826,FIC,LastMohicansANarrative1757,"suffered to decline, and all eyes, those of friends as",well,"as enemies, became fixed on the hopeless condition of the","  the fire was suffered to decline, and all eyes, those of friends as well as enemies, became fixed on the hopeless condition of the wretch who was dangling",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"cavern, but in the open air I know it too",well,"to be wrong. "" The scout and his companions listened","  deceive me in the cavern, but in the open air I know it too well to be wrong. "" The scout and his companions listened to this simple explanation",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"As the subtle Huron was familiar with the paths, and",well,"knew there was no immediate danger of pursuit, their progress","  of the Canadas. As the subtle Huron was familiar with the paths, and well knew there was no immediate danger of pursuit, their progress ",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"deaths. "" "" That such would be your answer, I",well,"knew! "" exclaimed Cora, her cheeks flushing, and her dark","  than a thousand deaths. "" "" That such would be your answer, I well knew! "" exclaimed Cora, her cheeks flushing, and her dark eyes once",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,Uncas some such turn myself before now; and I very,well,remember that he has stood between me and death five,  I may have served Uncas some such turn myself before now; and I very well remember that he has stood between me and death five different times; three times,0,NA,0,high,Intensifier + well
1820,1826,FIC,LastMohicansANarrative1757,"their leader. Magua approached the horses, and affected to be",well,pleased with the diligence and ingenuity of his comrades. He,"  suspicious confederacy with their leader. Magua approached the horses, and affected to be well pleased with the diligence and ingenuity of his comrades. He then signed to Heyward",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"followed by the active Duncan. Here they secured themselves, as",well,"as circumstances would permit, among the shrubs and fragments of","  a deer, followed by the active Duncan. Here they secured themselves, as well as circumstances would permit, among the shrubs and fragments of stone that were scattered",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"their blasphemies at the fall of some Christian soul. """,Well,"may you laugh, ye children of the devil! "" said","  fifty demons were uttering their blasphemies at the fall of some Christian soul. "" Well may you laugh, ye children of the devil! "" said the scout,",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,gave rise to a breed of horses which were once,well,"known in America, and distinguished by their habit of pacing.","  in the animal world, gave rise to a breed of horses which were once well known in America, and distinguished by their habit of pacing. Horses of this",0,NA,0,high,Compound: well + adjective
1820,1826,FIC,LastMohicansANarrative1757,"boon from your own hand, with that grace you so",well,"know how to practise. Remember, Cora, that on your presence","  amiss to add some boon from your own hand, with that grace you so well know how to practise. Remember, Cora, that on your presence of mind",0,NA,0,high,Noun: the well
1820,1826,FIC,LastMohicansANarrative1757,in striving to fabricate a lying end to their trail!,"Well,",I've known them to waste a day in the same,"  they have spent hours in striving to fabricate a lying end to their trail! Well, I've known them to waste a day in the same manner to as",1,NA,1,high,DM: Sentence-initial + comma/punct
1820,1826,FIC,LastMohicansANarrative1757,"remonstrance. "" Wisdom is sometimes given to the young, as",well,"as to the old, "" he said; "" and what","  success of her remonstrance. "" Wisdom is sometimes given to the young, as well as to the old, "" he said; "" and what you have spoken",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"when seriously bent to kill? "" returned Duncan, smiling with",well,acted sincerity. Another long and deliberate pause succeeded these sententious,"  his aim, when seriously bent to kill? "" returned Duncan, smiling with well acted sincerity. Another long and deliberate pause succeeded these sententious questions and ready replies",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"Your notions are those of a gentleman, Major Heyward, and",well,enough in their place. But Cora Munro is a maiden,"  . "" "" Your notions are those of a gentleman, Major Heyward, and well enough in their place. But Cora Munro is a maiden too discreet, and",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,the leaves of sassafras with a color that the native,well,knew as anticipating the season. Over this sign of their,"  wound of David had dyed the leaves of sassafras with a color that the native well knew as anticipating the season. Over this sign of their success, they sent",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,band again to himself. In that language he knew so,well,"how to assume, he diverted his comrades from their instant","  the attention of the band again to himself. In that language he knew so well how to assume, he diverted his comrades from their instant purpose, and invited",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,in reason can the water be quiet? You might as,well,expect the river to lie still on the brink of,"  is round, how in reason can the water be quiet? You might as well expect the river to lie still on the brink of those black rocks a mile",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"thoughts, proceeded: "" Your commandant is a brave man, and",well,"qualified to repel my assault. Mais, monsieur, is it not","  collect his thoughts, proceeded: "" Your commandant is a brave man, and well qualified to repel my assault. Mais, monsieur, is it not time to",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,he was not so weak as to deceive himself. He,well,knew that the authority of an Indian chief was so,"  of the sisters, he was not so weak as to deceive himself. He well knew that the authority of an Indian chief was so little conventional, that it",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"then, where you may create those sounds you love so",well,"to hear. "" David smiled sadly, though not without a","  peace; in, then, where you may create those sounds you love so well to hear. "" David smiled sadly, though not without a momentary gleam of",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"friend of the Six Nations, held his large possessions, as",well,as his usual residence. To be delivered into the hands,"  and a favored friend of the Six Nations, held his large possessions, as well as his usual residence. To be delivered into the hands of Sir William Johnson",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"his gracious highness of York, you'll know; and it is",well,"filled with armed men, as such a work should be.","  honor of his gracious highness of York, you'll know; and it is well filled with armed men, as such a work should be. "" "" But",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"he continued, aloud: "" Can the Delawares swim, too, as",well,as crawl in the bushes? Where is' Le Gros Serpent'?,"  before he continued, aloud: "" Can the Delawares swim, too, as well as crawl in the bushes? Where is' Le Gros Serpent'? """,0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"your presence of mind and ingenuity, even your life, as",well,"as that of Alice, may in some measure depend. ""","  , that on your presence of mind and ingenuity, even your life, as well as that of Alice, may in some measure depend. "" "" Heyward,",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"of the works, and not to his second. "" ""","Well,","sir, is not a substitute clothed with all the power","  to the commandant of the works, and not to his second. "" "" Well, sir, is not a substitute clothed with all the power and dignity of",1,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"now a few minutes of fearful stillness, during which Heyward",well,knew that the savages conducted their search with greater vigilance,"  . "" There were now a few minutes of fearful stillness, during which Heyward well knew that the savages conducted their search with greater vigilance and method. More than",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"reach of the knife of Le Subtil. "" "" Monster!",well,"dost thou deserve thy treacherous name, "" cried Cora, in","  would lie within reach of the knife of Le Subtil. "" "" Monster! well dost thou deserve thy treacherous name, "" cried Cora, in an ungovernable burst",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,that may happen to come out of other men's throats.,"Well,","friend, I suppose it is your gift, and mustn't be","  ups and downs that may happen to come out of other men's throats. Well, friend, I suppose it is your gift, and mustn't be denied",1,NA,1,high,DM: Sentence-initial + comma/punct
1820,1826,FIC,LastMohicansANarrative1757,or they would keep their dingy backs below the logs.,"Well,","let them, "" he added, examining his flint; "" the","  for the rush, or they would keep their dingy backs below the logs. Well, let them, "" he added, examining his flint; "" the leading",1,NA,1,high,DM: Sentence-initial + comma/punct
1820,1826,FIC,LastMohicansANarrative1757,"wear a hunting-shirt instead of a scarlet jacket. "" ""","Well,","then, among other things, you may know the name of","  , though I do wear a hunting-shirt instead of a scarlet jacket. "" "" Well, then, among other things, you may know the name of its major",1,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,whether the poor fellow still belongs to this world may,well,"be doubted, "" said Heyward, glancing his eyes around him,","  was of flesh; but whether the poor fellow still belongs to this world may well be doubted, "" said Heyward, glancing his eyes around him, and missing",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"How good it is, O see, And how it pleaseth","well,","Together e'en in unity, For brethren so to dwell. It's","  defiance; "" How good it is, O see, And how it pleaseth well, Together e'en in unity, For brethren so to dwell. It's like",1,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"both; he offers to restore Duncan, our invaluable Duncan, as",well,"as you, to our friends -- to our father --","  more than both; he offers to restore Duncan, our invaluable Duncan, as well as you, to our friends -- to our father -- to our heart-stricken,",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"other eyes than ours see it, and know its meaning.","Well,","words will not mend the matter, and it is time","  on it, other eyes than ours see it, and know its meaning. Well, words will not mend the matter, and it is time that we were",1,NA,1,high,DM: Sentence-initial + comma/punct
1820,1826,FIC,LastMohicansANarrative1757,"all fore-ordered, and for the best. "" "" Thou sayest","well,",""" returned David, "" and hast caught the true spirit","  ' t was all fore-ordered, and for the best. "" "" Thou sayest well, "" returned David, "" and hast caught the true spirit of Christianity.",1,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,who was made Sir William for that very deed; and,well,did we pay him for the disgrace of the morning!,  under Sir William -- who was made Sir William for that very deed; and well did we pay him for the disgrace of the morning! Hundreds of Frenchmen saw,0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"a glance, and encouraging his followers by his voice as",well,"as by his example, he unsheathed his long and dangerous","  of the assault at a glance, and encouraging his followers by his voice as well as by his example, he unsheathed his long and dangerous knife, and rushed",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"was now joined by Chingachgook, who found his own, as",well,"as the rifle of his son, among the arms. Even","  this office he was now joined by Chingachgook, who found his own, as well as the rifle of his son, among the arms. Even Heyward and David",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,they knew the common signs of such a navigation too,well,to commit any material blunder. When the pilot chosen for,"  rapids of the stream, they knew the common signs of such a navigation too well to commit any material blunder. When the pilot chosen for the task of guiding",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"of the forest ring with the sounds of triumph. """,Well,"done for the Delawares! victory to the Mohicans! "" cried","  , making the arches of the forest ring with the sounds of triumph. "" Well done for the Delawares! victory to the Mohicans! "" cried Hawkeye, once",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"young Mohican, betraying his knowledge of the English language as",well,as of the other's meaning; but he suffered it to,"  haughty features of the young Mohican, betraying his knowledge of the English language as well as of the other's meaning; but he suffered it to pass away without",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"must be, something in that letter which it would be",well,"to know! "" "" Our decision should be speedy, ""","  there might, and must be, something in that letter which it would be well to know! "" "" Our decision should be speedy, "" said Duncan,",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,Being that gave them power to improve His gifts so,"well,","would not deny them voices to proclaim His praise. ""","  It would seem that the Being that gave them power to improve His gifts so well, would not deny them voices to proclaim His praise. "" CHAPTER 22 """,0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"God keep them from the Iroquois! "" CHAPTER 4 """,Well,go thy way: thou shalt not from this grove Till,"  they come themselves; God keep them from the Iroquois! "" CHAPTER 4 "" Well go thy way: thou shalt not from this grove Till I torment thee for",0,NA,0,high,Noun: the well
1820,1826,FIC,LastMohicansANarrative1757,"le vin, vive l'amour, "" etc., etc. ""' T is",well,"you understood the knave! "" whispered the scout, when they","  le vin, vive l'amour, "" etc., etc. ""' T is well you understood the knave! "" whispered the scout, when they had gained a",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"and all things considered, it may possibly be quite as",well,"to let it stand, instead of going back to the","  to find favor, and all things considered, it may possibly be quite as well to let it stand, instead of going back to the House of Hanover for",0,NA,0,high,Fixed phrase: as well / may well
1820,1826,FIC,LastMohicansANarrative1757,"the Mingoes would push for this spring, for the knaves",well,"know the vartue of its waters! "" "" Is it,","  It then struck me the Mingoes would push for this spring, for the knaves well know the vartue of its waters! "" "" Is it, then, so",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"other and more important duties, because thou hast proved thyself",well,"worthy of a Christian's praise. "" "" The thing is","  before proceeding to discharge other and more important duties, because thou hast proved thyself well worthy of a Christian's praise. "" "" The thing is but a trifle",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,your father is flaying the scalps already. It may be,well,"to go round and feel the vagabonds that are left,","  in Delaware, "" your father is flaying the scalps already. It may be well to go round and feel the vagabonds that are left, or we may have",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,were forty! and they know our number and quality too,well,to give up the chase so soon. Hist! look into,"  this morning, there were forty! and they know our number and quality too well to give up the chase so soon. Hist! look into the water above",0,NA,NA,low,MANUAL REVIEW NEEDED
1820,1826,FIC,LastMohicansANarrative1757,"the opposite woods to re-echo with a name which, Heyward",well,"remembered, had been given by his enemies to a celebrated","  Carabine! "" causing the opposite woods to re-echo with a name which, Heyward well remembered, had been given by his enemies to a celebrated hunter and scout of",0,NA,NA,low,MANUAL REVIEW NEEDED
